,date,product_id,price,units
114,2020-01-05,11,5.54,1247.0
115,2020-01-06,11,4.93,1108.0
116,2020-01-07,11,5.95,893.0
117,2020-01-08,11,5.84,611.0
118,2020-01-09,11,5.96,757.0
119,2020-01-10,11,7.77,377.0
120,2020-01-01,12,2.9,1363.0
121,2020-01-02,12,3.27,1425.0
122,2020-01-03,12,6.05,1243.0
123,2020-01-04,12,5.56,1482.0
124,2020-01-05,12,6.89,1565.0
125,2020-01-06,12,7.18,1406.0
126,2020-01-07,12,5.88,1511.0
127,2020-01-08,12,8.28,1049.0
128,2020-01-09,12,5.43,1256.0
129,2020-01-10,12,4.26,1375.0
130,2020-01-01,13,2.39,2170.0
131,2020-01-02,13,3.68,1521.0
132,2020-01-03,13,4.25,1478.0
133,2020-01-04,13,5.1,1466.0
134,2020-01-05,13,4.37,1386.0
135,2020-01-06,13,4.65,1356.0
136,2020-01-07,13,4.07,1766.0
137,2020-01-08,13,5.03,1440.0
138,2020-01-09,13,5.2,1422.0
139,2020-01-10,13,4.37,1446.0
140,2020-01-01,14,8.76,215.0
142,2020-01-03,14,7.02,630.0
143,2020-01-04,14,6.08,1229.0
144,2020-01-05,14,7.73,748.0
145,2020-01-06,14,7.36,857.0
146,2020-01-07,14,8.13,545.0
147,2020-01-08,14,6.75,936.0
148,2020-01-09,14,7.47,274.0
150,2020-01-01,15,2.31,1401.0
151,2020-01-02,15,2.73,1524.0
152,2020-01-03,15,4.3,1298.0
153,2020-01-04,15,6.25,1708.0
154,2020-01-05,15,6.5,1068.0
155,2020-01-06,15,6.06,1481.0
156,2020-01-07,15,4.51,1266.0
157,2020-01-08,15,9.27,1029.0
158,2020-01-09,15,7.18,1196.0
159,2020-01-10,15,4.59,1399.0
160,2020-01-01,16,2.58,1414.0
161,2020-01-02,16,4.72,1595.0
162,2020-01-03,16,4.37,1485.0
163,2020-01-04,16,7.88,1306.0
164,2020-01-05,16,6.31,1566.0
165,2020-01-06,16,6.37,1269.0
166,2020-01-07,16,5.35,1790.0
167,2020-01-08,16,6.66,1723.0
168,2020-01-09,16,6.7,1275.0
169,2020-01-10,16,4.96,1157.0
170,2020-01-01,17,3.98,1533.0
171,2020-01-02,17,4.79,1532.0
172,2020-01-03,17,4.19,1265.0
173,2020-01-04,17,5.48,809.0
174,2020-01-05,17,4.42,1300.0
175,2020-01-06,17,4.79,1172.0
176,2020-01-07,17,3.82,1451.0
177,2020-01-08,17,4.58,1438.0
178,2020-01-09,17,4.17,1057.0
179,2020-01-10,17,6.36,824.0
180,2020-01-01,18,4.38,990.0
181,2020-01-02,18,2.93,1405.0
182,2020-01-03,18,4.28,1453.0
183,2020-01-04,18,4.1,1527.0
184,2020-01-05,18,4.08,1303.0
185,2020-01-06,18,3.39,1772.0
186,2020-01-07,18,3.88,1559.0
187,2020-01-08,18,5.77,1276.0
188,2020-01-09,18,4.6,1227.0
189,2020-01-10,18,5.18,996.0
190,2020-01-01,19,9.1,345.0
191,2020-01-02,19,7.11,981.0
193,2020-01-04,19,6.71,1280.0
194,2020-01-05,19,7.68,382.0
195,2020-01-06,19,8.64,227.0
196,2020-01-07,19,7.87,717.0
197,2020-01-08,19,4.73,1181.0
198,2020-01-09,19,7.3,726.0
200,2020-01-01,20,2.07,1691.0
201,2020-01-02,20,3.53,1386.0
202,2020-01-03,20,2.16,1547.0
203,2020-01-04,20,2.98,1713.0
204,2020-01-05,20,4.1,1546.0
205,2020-01-06,20,4.43,1609.0
206,2020-01-07,20,3.63,1707.0
207,2020-01-08,20,3.77,1804.0
208,2020-01-09,20,3.95,1411.0
209,2020-01-10,20,3.24,1224.0
210,2020-01-01,21,7.22,689.0
212,2020-01-03,21,7.87,286.0
213,2020-01-04,21,8.57,37.0
214,2020-01-05,21,7.99,540.0
215,2020-01-06,21,7.27,797.0
216,2020-01-07,21,7.76,227.0
217,2020-01-08,21,7.92,752.0
218,2020-01-09,21,7.31,181.0
220,2020-01-01,22,6.15,826.0
221,2020-01-02,22,6.21,723.0
222,2020-01-03,22,8.84,16.0
223,2020-01-04,22,6.76,880.0
224,2020-01-05,22,8.0,869.0
225,2020-01-06,22,7.18,834.0
226,2020-01-07,22,7.89,323.0
227,2020-01-08,22,8.66,274.0
228,2020-01-09,22,5.22,1087.0
229,2020-01-10,22,6.25,962.0
230,2020-01-01,23,2.73,1375.0
231,2020-01-02,23,3.15,1404.0
232,2020-01-03,23,4.65,1144.0
233,2020-01-04,23,6.42,1372.0
234,2020-01-05,23,5.43,826.0
235,2020-01-06,23,6.88,1279.0
236,2020-01-07,23,4.87,1549.0
237,2020-01-08,23,8.05,938.0
238,2020-01-09,23,4.45,865.0
239,2020-01-10,23,4.15,1588.0
240,2020-01-01,24,7.12,1021.0
242,2020-01-03,24,6.34,866.0
243,2020-01-04,24,7.18,737.0
244,2020-01-05,24,8.24,462.0
245,2020-01-06,24,7.94,270.0
246,2020-01-07,24,8.68,185.0
247,2020-01-08,24,6.9,912.0
248,2020-01-09,24,6.97,319.0
249,2020-01-10,24,7.67,574.0
250,2020-01-01,25,4.04,1423.0
251,2020-01-02,25,3.62,1295.0
252,2020-01-03,25,4.38,1239.0
253,2020-01-04,25,4.06,1170.0
254,2020-01-05,25,3.12,1096.0
255,2020-01-06,25,2.68,1276.0
256,2020-01-07,25,3.89,1423.0
257,2020-01-08,25,3.3,1627.0
258,2020-01-09,25,3.64,1471.0
259,2020-01-10,25,4.6,1422.0
260,2020-01-01,26,2.71,1363.0
261,2020-01-02,26,2.34,1278.0
262,2020-01-03,26,2.44,1441.0
263,2020-01-04,26,3.47,1809.0
264,2020-01-05,26,3.79,1274.0
265,2020-01-06,26,3.18,1524.0
266,2020-01-07,26,2.81,1153.0
267,2020-01-08,26,5.0,913.0
268,2020-01-09,26,3.38,1603.0
269,2020-01-10,26,4.15,1263.0
